date,player,stat,line,expected,actual,real_margin,predicted_margin,prob_home_ml,proj_min,player_std,prob,ev,stake,profit,bankroll,margin_bucket
2026-02-27,Jaylen Brown,REB,7.6,8.875,7,37,15.323202919752704,0.8064640583950541,33.625,5.425249610233003,0.5929003789081386,0.12651071992546337,35.14186664596205,-35.14186664596205,964.8581333540379,>15 (blowout)
2026-03-30,De'Aaron Fox,REB,4.0,4.375,1,1,15.280976214234132,0.8056195242846826,33.25,2.013840995599095,0.5738604783660473,0.09033490889548967,24.211214326002597,-24.211214326002597,940.6469190280353,>15 (blowout)
2026-03-22,Josh Hart,REB,6.7,7.75,6,32,15.573276750726912,0.8114655350145382,24.75,5.072803301265813,0.5819896605838608,0.10578035510933548,27.639434757579977,-27.639434757579977,913.0074842704553,>15 (blowout)
2026-03-30,Luke Kornet,REB,5.0,5.625,2,1,15.280976214234132,0.8056195242846826,19.125,3.719318934070234,0.5667246916312132,0.0767769140993051,19.471638108848694,-19.471638108848694,893.5358461616066,>15 (blowout)
2026-02-27,Michael Porter Jr.,REB,5.8,6.624999999999999,2,-37,-15.323202919752704,0.8064640583950541,31.375,4.83160888777687,0.5677900535251952,0.07880110169787069,19.558780301131613,-19.558780301131613,873.977065860475,>15 (blowout)
2026-03-22,Mitchell Robinson,REB,8.7,10.25,10,32,15.573276750726912,0.8114655350145382,20.5,6.545566777937909,0.5935946042319615,0.1278297480407269,31.033407811755083,27.930067030579572,901.9071328910546,>15 (blowout)
2026-02-27,Nikola Vucevic,REB,6.1,6.999999999999999,11,37,15.323202919752704,0.8064640583950541,23.875,4.22163738639668,0.5844096115490895,0.11037826194327005,27.653039378542363,24.887735440688125,926.7948683317428,>15 (blowout)
2026-02-20,Kenrich Williams,REB,4.9,5.5,2,19,15.660112781714691,0.8132022556342938,24.5,3.025814858109392,0.5785923566830369,0.09932547769777011,25.570650840247836,-25.570650840247836,901.224217491495,>15 (blowout)
2026-02-20,Nicolas Claxton,REB,5.5,6.25,0,-19,-15.660112781714691,0.8132022556342938,27.25,3.496029493900501,0.5849327548890331,0.11137223428916276,27.880931860425047,-27.880931860425047,873.34328563107,>15 (blowout)
2026-02-27,Nicolas Claxton,REB,5.0,5.625,4,-37,-15.323202919752704,0.8064640583950541,24.75,3.5355339059327324,0.570158102400667,0.08330039456126714,20.208288966806016,-20.208288966806016,853.134996664264,>15 (blowout)
2026-02-20,Luguentz Dort,REB,4.3,4.75,2,19,15.660112781714691,0.8132022556342938,33.625,2.859681411936963,0.5625195054299018,0.06878706031681348,16.301291242758083,-16.301291242758083,836.8337054215059,>15 (blowout)
2026-03-24,Killian Hayes,REB,3.5,3.7499999999999996,0,-44,-15.397205627058137,0.8079441125411627,23.5,1.632993161855452,0.5608375749494825,0.06559139240401679,15.246968874780361,-15.246968874780361,821.5867365467255,>15 (blowout)
2026-03-30,Nick Richards,REB,6.0,6.875000000000001,0,-1,-15.280976214234132,0.8056195242846826,22.125,3.3747427885527657,0.602290016826663,0.1443510319706598,32.943581464979566,-32.943581464979566,788.6431550817459,>15 (blowout)
2026-02-27,Neemias Queta,REB,9.7,11.5,2,37,15.323202919752704,0.8064640583950541,32.125,4.589843860815601,0.6525337706808679,0.2398141642936491,52.53549976717654,-52.53549976717654,736.1076553145693,>15 (blowout)
2026-02-20,Day'Ron Sharpe,REB,9.3,11.000000000000002,8,-19,-15.660112781714691,0.8132022556342938,25.25,2.9363620727393642,0.7186877605555994,0.3655067450556386,74.7367536401573,-74.7367536401573,661.370901674412,>15 (blowout)
2026-02-27,Day'Ron Sharpe,REB,8.3,9.75,5,-37,-15.323202919752704,0.8064640583950541,25.625,3.7357135269658404,0.6510457798256255,0.23698698166868848,43.537859375366054,-43.537859375366054,617.8330422990459,>15 (blowout)
2026-02-20,Aaron Wiggins,REB,4.3,4.749999999999999,4,19,15.660112781714691,0.8132022556342938,32.25,1.1352924243950924,0.6540852983937357,0.24276206694809788,41.66289621593,-41.66289621593,576.1701460831159,>15 (blowout)
2026-03-21,Jay Huff,REB,4.3,4.75,2,-15,-15.274417977540782,0.8054883595508157,29.125,2.2010098692292237,0.5809996965459174,0.10389942343724301,16.628818327718857,-16.628818327718857,559.5413277553971,>15 (blowout)
2026-03-30,Julian Champagnie,REB,5.6,6.375,3,1,15.280976214234132,0.8056195242846826,33.375,2.424412872795759,0.6253888619210883,0.18823883765006788,29.257613653847656,-29.257613653847656,530.2837141015494,>15 (blowout)
2026-02-20,Chet Holmgren,REB,8.9,10.5,7,19,15.660112781714691,0.8132022556342938,32.5,4.857983120596447,0.629056231413197,0.19520683968507413,28.754168879507475,-28.754168879507475,501.529545222042,>15 (blowout)
2025-12-18,Jalen Williams,REB,4.3,4.749999999999999,1,21,15.702039493086945,0.8140407898617389,25.125,3.190262963734773,0.5560864387638471,0.05656423365130947,7.880176216381823,-7.880176216381823,493.64936900566016,>15 (blowout)
2025-12-18,Jaylin Williams,REB,5.5,6.250000000000001,0,21,15.702039493086945,0.8140407898617389,22.75,2.054804667656325,0.6424436241398574,0.220642885865729,30.255617050890297,-30.255617050890297,463.39375195476987,>15 (blowout)
2026-02-20,Jaylin Williams,REB,6.2,7.125000000000001,4,19,15.660112781714691,0.8132022556342938,29.25,3.4657049948186742,0.6052272923506005,0.14993185546614085,19.299301400554246,-19.299301400554246,444.0944505542156,>15 (blowout)
2026-03-30,Leonard Miller,REB,7.5,8.75,1,-1,-15.280976214234132,0.8056195242846826,33.0,2.4037008503093262,0.6984791668636111,0.32711041704086097,40.35220025731154,-40.35220025731154,403.74225029690405,>15 (blowout)
2026-03-30,Victor Wembanyama,REB,11.4,13.625000000000002,10,1,15.280976214234132,0.8056195242846826,33.625,4.629614814791114,0.6846001388984824,0.3007402639071164,33.7282085846511,-33.7282085846511,370.01404171225295,>15 (blowout)
2025-12-18,Cason Wallace,REB,3.7,4.0,1,21,15.702039493086945,0.8140407898617389,32.625,1.3984117975602022,0.5849327548890328,0.11137223428916232,11.447025151071365,-11.447025151071365,358.56701656118156,>15 (blowout)
2026-02-27,Noah Clowney,REB,3.9,4.25,3,-37,-15.323202919752704,0.8064640583950541,29.75,2.0655911179772897,0.5672759067395798,0.07782422280520174,7.751444274292727,-7.751444274292727,350.8155722868888,>15 (blowout)
2026-03-22,Bilal Coulibaly,REB,4.5,5.0,5,-32,-15.573276750726912,0.8114655350145382,30.625,2.53859103528797,0.5780704427964799,0.09833384131331169,9.582511893193775,8.624260703874397,359.4398329907632,>15 (blowout)
2026-03-21,Kobe Brown,REB,4.1,4.5,0,-15,-15.274417977540782,0.8054883595508157,27.875,2.2705848487901847,0.5699182603282098,0.08284469462359856,8.271578666576957,-8.271578666576957,351.16825432418625,>15 (blowout)
2026-03-30,Stephon Castle,REB,6.0,6.875,2,1,15.280976214234132,0.8056195242846826,29.125,4.169998667732267,0.583100680261597,0.10789129249703433,10.524443567489913,-10.524443567489913,340.6438107566963,>15 (blowout)
2026-02-27,Baylor Scheierman,REB,7.3,8.500000000000002,3,37,15.323202919752704,0.8064640583950541,30.5,3.5213633723318027,0.6333643045893897,0.2033921787198405,19.245635232564865,-19.245635232564865,321.3981755241315,>15 (blowout)
2026-03-30,Dylan Harper,REB,3.8,4.125,1,1,15.280976214234132,0.8056195242846826,24.125,2.1628170930011112,0.5597230096545988,0.0634737183437375,5.666760352613852,-5.666760352613852,315.73141517151765,>15 (blowout)
2026-02-27,Egor Demin,REB,3.9,4.25,0,-37,-15.323202919752704,0.8064640583950541,31.5,1.9550504398153565,0.5710403808196325,0.08497672355730157,7.452728107051584,-7.452728107051584,308.27868706446606,>15 (blowout)
2026-03-21,Carter Bryant,REB,4.3,4.75,9,15,15.274417977540782,0.8054883595508157,21.125,2.4404006956964173,0.5731485758620616,0.08898229413791703,7.619818002450324,6.8578362022052906,315.13652326667136,>15 (blowout)
2026-03-30,Carter Bryant,REB,4.1,4.5,0,1,15.280976214234132,0.8056195242846826,19.25,2.9888682361946524,0.5532314667679205,0.05113978685904885,4.476670730933124,-4.476670730933124,310.65985253573825,>15 (blowout)
2026-02-20,Danny Wolf,REB,6.6,7.624999999999999,3,-19,-15.660112781714691,0.8132022556342938,29.625,1.8529256146249713,0.7099296626042688,0.3488663589481107,30.105214340416666,-30.105214340416666,280.55463819532156,>15 (blowout)
2026-02-27,Danny Wolf,REB,5.7,6.5,2,-37,-15.323202919752704,0.8064640583950541,26.875,1.6865480854231356,0.6823718520013758,0.29650651880261414,23.10729975145047,-23.10729975145047,257.4473384438711,>15 (blowout)
